State,County,Teen births,High school graduation
AK,Aleutians West Census Area,21.1,
AK,Aleutians West Census Area,21.6,
AK,Anchorage Borough,37.7,0.718
AK,Anchorage Borough,36.7,0.73
AK,Bethel Census Area,80.3,0.408
AK,Bethel Census Area,81.0,0.442
AK,Dillingham Census Area,55.3,
AK,Dillingham Census Area,57.6,
AK,Fairbanks North Star Borough,38.1,0.676
AK,Fairbanks North Star Borough,37.5,0.663
AK,Haines Borough,,
AK,Haines Borough,,
AK,Juneau Borough,27.2,0.72
AK,Juneau Borough,25.6,0.7
AK,Kenai Peninsula Borough,30.2,0.73
AK,Kenai Peninsula Borough,29.6,0.79
AK,Ketchikan Gateway Borough,30.4,0.675
AK,Ketchikan Gateway Borough,29.8,0.77
AK,Kodiak Island Borough,32.2,0.78
AK,Kodiak Island Borough,31.8,0.8
AK,Lake and Peninsula Borough,52.0,
AK,Lake and Peninsula Borough,49.1,
AK,Matanuska-Susitna Borough,32.5,0.7
AK,Matanuska-Susitna Borough,32.6,0.72
AK,Nome Census Area,96.7,0.593
AK,Nome Census Area,94.0,0.605
AK,North Slope Borough,100.2,0.575
AK,North Slope Borough,92.2,0.575
AK,Northwest Arctic Borough,96.0,0.475
AK,Northwest Arctic Borough,94.7,0.525
AK,Prince of Wales-Outer Ketchikan Census Area,50.5,
AK,Prince of Wales-Outer Ketchikan Census Area,47.9,
AK,Sitka Borough,27.2,0.846
AK,Sitka Borough,28.4,0.826
AK,Skagway-Hoonah-Angoon Census Area,28.5,
AK,Skagway-Hoonah-Angoon Census Area,26.3,
AK,Southeast Fairbanks Census Area,37.3,0.643
AK,Southeast Fairbanks Census Area,37.6,0.508
AK,Valdez-Cordova Census Area,25.5,
AK,Valdez-Cordova Census Area,24.5,0.872
AK,Wade Hampton Census Area,103.4,0.457
AK,Wade Hampton Census Area,107.1,0.439
AK,Wrangell-Petersburg Census Area,33.0,0.826
AK,Wrangell-Petersburg Census Area,35.9,
AK,Yukon-Koyukuk Census Area,60.2,0.509
AK,Yukon-Koyukuk Census Area,61.5,0.526
